codigo_pv,distrito,concelho,freguesia,regiao_agraria,nut_iii,hayford_x,hayford_y,altitude_m,tipo_estrutura,altura_plataforma_m,fonte_energia,obstrucao_visibilidade,n_visadas,area_ardida_ha,risco_muito_alto_pct,risco_alto_pct,risco_medio_pct,risco_baixo_pct,risco_muito_baixo_pct,rede,lat,lon,coord_source,osm_name,osm_height,osm_height_viewpoint,osm_ele,osm_material,osm_ownership,osm_start_date,osm_website,osm_tower_construction
51-01,Leiria,Nazaré,Nazaré,Ribatejo e Oeste,Oeste,121053,292046,152,Madeira,8.6,Painel Solar,Reduzida,65,6045,0,13.2,35.6,50.1,1.1,Primária,39.5929798,-9.0521538,Hayford_converted,,,,,,,,,
P-01,Leiria,Porto de Mós,Serro Ventoso,Beira Litoral,Pinhal Litoral,138302,289360,542,Metálica,4,Electricidade,Média,26,19831,0,20.2,34.1,42.8,3,Secundária,39.5702053,-8.8511188,Hayford_converted,,,,,,,,,
P-02,Leiria,Porto de Mós,Arrimal,Beira Litoral,Pinhal Litoral,135073,278181,524,Metálica,4,Painel Solar,Reduzida,151,19936,0,17.4,33.5,43.1,6,Secundária,39.4692883,-8.8876027,Hayford_converted,,,,,,,,,
52-01,Lisboa,Cadaval,Lamas,Ribatejo e Oeste,Oeste,120405,247127,571,Alvenaria,7,Painel Solar,Média,36,25809,0,9.1,29.7,37.8,22.7,Primária,39.1883634,-9.054404,OSM,Posto de Vigia Montejunto,12,10.0,573,masonry,DRARO,,http://scrif.igeo.pt/ASP/pesque.asp?cod=167,freestanding
52-02,Lisboa,Torres Vedras,Monte Redondo,Ribatejo e Oeste,Oeste,109010,238509,312,Metálica,6.2,Painel Solar,Reduzida,168,15477,0,2.9,30.5,43.2,22.6,Primária,39.1096554,-9.1850711,Hayford_converted,,,,,,,,,
52-03,Lisboa,Alenquer,Ota,Ribatejo e Oeste,Oeste,125098,238194,156,Alvenaria,5.8,Electricidade,Reduzida,101,25924,0,7.6,26.7,34.1,30.9,Primária,39.1083491,-8.9990584,Hayford_converted,,,,,,,,,
52-04,Lisboa,Mafra,Mafra,Ribatejo e Oeste,Oeste,99292,220561,350,Metálica,4,Painel Solar,Média,117,12516,0,1.3,25.9,44.1,27.6,Primária,38.9469672,-9.2947769,OSM,Posto de Vigia Tapada de Mafra,6,4.0,350,wood,DRARO,1988,http://scrif.igeo.pt/ASP/pesque.asp?cod=170,lattice
54-01,Lisboa,Cascais,Alcabideche,Ribatejo e Oeste,Grande Lisboa,89791,197249,155,Alvenaria,6.8,Electricidade,Média,163,6427,0,0.3,24.4,44.2,29.5,Primária,38.7358697,-9.4005912,Hayford_converted,,,,,,,,,
54-03,Lisboa,Sintra,Sintra (S.tinho),Ribatejo e Oeste,Grande Lisboa,88386,206211,127,Alvenaria,7.6,Electricidade,Reduzida,60,8142,0,0.6,25.4,47.7,24.7,Primária,38.8164025,-9.4181944,Hayford_converted,,,,,,,,,
54-04,Lisboa,Loures,Lousa,Ribatejo e Oeste,Grande Lisboa,107974,215059,405,Metálica,10.2,Electricidade,Nula,419,13454,0,1.1,22.2,38.2,37.5,Primária,38.8983012,-9.1938763,OSM,Posto de Vigia Cabeço Montachique,8,6.0,408,metal,CM LOURES,1997,http://scrif.igeo.pt/ASP/pesque.asp?cod=178,lattice
54-05,Lisboa,Sintra,Belas,Ribatejo e Oeste,Grande Lisboa,102151,203981,270,Madeira,4.1,Painel Solar,Elevada,112,11263,0,1,20.5,38.5,38.4,Primária,38.7979551,-9.2594214,Hayford_converted,,,,,,,,,
54-06,Lisboa,Cascais,Alcabideche,Ribatejo e Oeste,Grande Lisboa,86708,200431,400,Madeira,7.8,Painel Solar,Média,104,5833,0,0.3,25.8,47.3,24.8,Primária,38.7641358,-9.4365611,Hayford_converted,,,,,,,,,
64-02,Portalegre,Ponte de Sôr,Montargil,Alentejo,Alto Alentejo,217289,234378,235,Metálica,4,Electricidade,Elevada,16,24747,0,25.8,5,7.5,61.6,Primária,39.0771223,-8.1870847,OSM,Posto de Vigia Montargil,8,6.0,236,metal,DRAAL,1988,http://scrif.igeo.pt/ASP/pesque.asp?cod=209,lattice
64-03,Portalegre,Gavião,Gavião,Alentejo,Médio Tejo,195324,234378,285,Alvenaria,,Electricidade,,5,135051,10.2,66.7,6.3,5.1,11.6,Primária,39.4664412,-7.9320606,OSM,Posto de Vigia Gavião,12,10.0,280,,DRAAL,,http://scrif.igeo.pt/ASP/pesque.asp?cod=192,
65-01,Portalegre,Nisa,S. Simão,Alentejo,Alto Alentejo,243204,289816,462,Metálica,8,Electricidade,Reduzida,5,123349,16.7,71,5.2,5.2,1.8,Primária,39.575444,-7.6302154,OSM,Posto de Vigia São Miguel Nisa,10,8.0,460,metal,DRAAL,1992,http://scrif.igeo.pt/ASP/pesque.asp?cod=210,lattice
65-02,Portalegre,vão,S. Salvador da Aramenha,Alentejo,Alto Alentejo,266656,260894,1022,Metálica,8,Electricidade,Média,18,26746,5.1,46.6,11.4,65.2,17.5,Primária,39.3134594,-7.3602023,OSM,Posto de Vigia São Mamede,10,8.0,1080,metal,DRAAL,1992,http://scrif.igeo.pt/ASP/pesque.asp?cod=211,lattice
65-03,Portalegre,Alter do Chão,Alter do Chão,Alentejo,Alto Alentejo,244118,246900,404,Metálica,4,Electricidade,Reduzida,13,36499,3.3,39.8,8.1,12,36.9,Primária,39.1888735,-7.6223895,OSM,Posto de Vigia Alter Pedroso,8,6.0,413,metal,DRAAL,1992,http://scrif.igeo.pt/ASP/pesque.asp?cod=212,lattice
21,Porto,Amarante,Ansiães,Entre Douro e Minho,Tâmega,214888,477080,960,Alvenaria,6.5,Electricidade,Média,122,63447,47.7,41.2,11,0.1,0,Primária,41.2627887,-7.9554586,Hayford_converted,,,,,,,,,
21-01,Porto,Amarante,Fregim,Entre Douro e Minho,Tâmega,199670,476653,531,Metálica,8,Painel Solar e Bateria,Reduzida,50,53066,34.7,39.4,20.9,5,0.1,Primária,41.25908,-8.1370545,Hayford_converted,,,,,,,,,
21-03,Porto,co de Canaveses,Penha Longa,Entre Douro e Minho,Tâmega,199652,460818,660,Metálica,6,Painel Solar e Bateria,Reduzida,59,47949,33.5,42.1,19.3,5.1,0.1,Primária,41.1165116,-8.1372276,OSM,Posto de Vigia Penha Longa,8,6.0,663,metal,DRAEDM,,http://scrif.igeo.pt/ASP/pesque.asp?cod=43,lattice
21-04,Porto,Penafiel,Sebolido,Entre Douro e Minho,Tâmega,182461,455517,484,Metálica,6,Painel Solar e Bateria,Média,55,35034,23.2,38.8,24.8,12.6,0.7,Primária,41.0686072,-8.3417946,OSM,Posto de Vigia Boneca,10,8.0,518,metal,DRAEDM,,http://scrif.igeo.pt/ASP/pesque.asp?cod=44,lattice
21-05,Porto,Paredes,Vandoma,Entre Douro e Minho,Tâmega,178379,470133,510,Metálica,7,Electricidade,Média,51,38644,19.2,39.2,28.8,12.1,0.6,Primária,41.2000833,-8.3908729,Hayford_converted,,,,,,,,,
21-06,Porto,Lousada,Sousela,Entre Douro e Minho,Tâmega,186332,482269,574,Metálica,10.8,Painel Solar e Bateria,Média,27,46019,23.9,40.9,26.4,8.5,0.4,Primária,41.3095254,-8.2962951,OSM,Posto de Vigia Santa Águeda,12,10.0,577,metal,DRAEDM,,http://scrif.igeo.pt/ASP/pesque.asp?cod=46,lattice
29-05,Porto,Trofa,Trofa (Santiago do Bougado),Entre Douro e Minho,Ave,169739,483488,200,Metálica,8,Painel Solar e Bateria,Média,19,28771,4,40.4,38.8,16.1,0.7,Primária,41.3197588,-8.5945521,OSM,Posto de Vigia São Gens,10,8.0,205,metal,DRAEDM,1995,http://scrif.igeo.pt/ASP/pesque.asp?cod=70,lattice
Valongo-2,Porto,Valongo,Valongo,Entre Douro e Minho,Grande Porto,169739,467000,367,Alvenaria,5.5,Electricidade,Média,47,30242,13.8,38,32.1,15.2,0.9,Secundária,41.1715965,-8.4937187,Hayford_converted,,,,,,,,,
